,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Willem H Ouwehand,24,5553,20,0.0,0.084,,,0.9818
Wolfgang Koenig,28,2489,20,0.0,0.085,,,0.9479
Julius Gudmundsson,26,3218,20,0.0,0.03,,,0.9618
Paul W Franks,27,4087,20,0.0,0.121,,,0.9719
Elina Hypponen,24,3606,20,0.0,0.093,,,0.9672
Roel A Ophoff,27,3077,20,0.003,0.075,,,0.9593
Eleanor Wheeler,21,6053,20,0.0,0.081,,,0.9838
Danish Saleheen,26,4802,20,0.0,0.115,,,0.9777
Ulla Sovio,20,5534,20,0.0,0.078,,,0.9816
Kijoung Song,22,5223,20,0.0,0.064,,,0.9801
Margaret J Wright,34,1545,20,0.0,0.07,,,0.91
Robert A Scott,35,2793,20,0.0,0.144,,,0.9548
Sita H Vermeulen,27,2439,20,0.001,0.093,,,0.9467
David A Hinds,39,1849,20,0.001,0.066,,,0.9264
Dena Hernandez,27,2735,20,0.001,0.094,,,0.9538
Pirro G Hysi,39,1254,20,0.0,0.078,,,0.8806
Andrew R Wood,24,5467,20,0.0,0.112,,,0.9811
Koichi Matsuda,43,1827,20,0.001,0.064,,,0.9249
Dan Rujescu,31,4922,20,0.002,0.093,,,0.9785
Andreas Ziegler,25,6027,20,0.001,0.083,,,0.9838
Katja K Aben,21,5147,20,0.0,0.067,,,0.9797
James Scott,24,4152,20,0.0,0.097,,,0.9727
Bo Isomaa,22,7755,20,0.0,0.08,,,0.9895
Amy Hutchinson,26,2913,20,0.0,0.053,,,0.9568
Lindsay A Farrer,35,2435,20,0.001,0.048,,,0.9464
Stella Trompet,50,2912,20,0.001,0.16,,,0.9567
Goran Hallmans,25,4705,20,0.001,0.123,,,0.977
Georgia Chenevix-Trench,30,3129,20,0.001,0.088,,,0.9599
John F Peden,21,5547,20,0.0,0.099,,,0.9817
Jolanta Lissowska,34,3919,20,0.001,0.088,,,0.9701
Barbara Franke,28,2098,20,0.001,0.06,,,0.936
John Hardy,32,3878,20,0.002,0.077,,,0.9699
Joseph F Fraumeni,28,3417,20,0.0,0.052,,,0.9644
Susanne Moebus,26,4606,20,0.002,0.107,,,0.976
Lavinia Paternoster,28,1353,20,0.0,0.103,,,0.8915
Annette T Lee,23,3529,20,0.0,0.023,,,0.9658
Anubha Mahajan,35,3076,19,0.001,0.121,,,0.9592
Per Hoffmann,35,1913,19,0.003,0.101,,,0.9286
Ching-Yu Cheng,47,1380,19,0.003,0.128,,,0.8951
Diane M Becker,31,2113,19,0.001,0.094,,,0.9369
Peter A Fasching,29,2257,19,0.0,0.082,,,0.9412
Kai Yu,27,3574,19,0.001,0.046,,,0.9666
Jie Jin Wang,33,1447,19,0.001,0.079,,,0.9027
Solveig Gretarsdottir,25,3744,19,0.0,0.051,,,0.9686
Stephen Chanock,31,2583,19,0.001,0.087,,,0.9502
Alex W Hewitt,39,1320,19,0.0,0.045,,,0.8872
Terri H Beaty,37,1592,19,0.002,0.038,,,0.9131
Graham Casey,32,1450,19,0.0,0.062,,,0.9031
Sara Lindstrom,28,1737,19,0.0,0.086,,,0.9204
Pilar Galan,24,5113,19,0.001,0.089,,,0.9793
Sarah E Hunt,20,4575,19,0.001,0.081,,,0.9759
Stuart Macgregor,27,1345,19,0.0,0.031,,,0.8908
Susan E Hankinson,25,4068,19,0.0,0.069,,,0.9717
Carl D Langefeld,41,2050,19,0.003,0.101,,,0.934
Mark Walker,24,5837,19,0.0,0.094,,,0.9831
Ayse Demirkan,24,3462,19,0.0,0.105,,,0.9649
Joyce B J van Meurs,24,3410,19,0.0,0.081,,,0.9642
D Timothy Bishop,24,1842,19,0.0,0.043,,,0.9259
Tiinamaija Tuomi,21,7669,19,0.0,0.082,,,0.9893
Nabila Bouatia-Naji,20,4077,19,0.0,0.092,,,0.9718
Afshin Parsa,22,2367,19,0.0,0.075,,,0.9453
Laurence N Kolonel,28,1950,19,0.0,0.069,,,0.9302
Martin Dichgans,31,2689,19,0.001,0.075,,,0.9528
Liesbeth Vandenput,28,3311,19,0.0,0.095,,,0.9629
Henrik Gronberg,25,4568,19,0.001,0.099,,,0.9758
Leif C Groop,20,7802,19,0.0,0.092,,,0.9896
Leonid Padyukov,27,2768,19,0.001,0.037,,,0.9543
Elizabeth K Speliotes,20,6764,19,0.0,0.081,U.S.,University of Michigan,0.9865
Montserrat Garcia-Closas,30,2975,19,0.0,0.088,,,0.9581
Dirkje S Postma,31,2038,19,0.001,0.084,,,0.9336
Hugh S Markus,30,2971,19,0.001,0.078,,,0.958
Cristian Pattaro,25,4316,19,0.0,0.075,,,0.9744
David A Mackey,39,1361,19,0.0,0.042,,,0.8927
Florian Kronenberg,28,3585,19,0.0,0.084,,,0.9668
Johannes H Smit,23,3784,19,0.0,0.111,,,0.9691
Ulrike Peters,34,2363,19,0.001,0.11,,,0.9451
Gunnar Sigurdsson,24,4031,19,0.0,0.077,,,0.9714
Joachim Heinrich,31,2307,19,0.0,0.071,,,0.9434
Linda S Adair,27,4659,19,0.0,0.117,,,0.9763
Yong-Bing Xiang,34,1360,19,0.001,0.067,,,0.8925
Fergus J Couch,30,2656,19,0.0,0.082,,,0.9521
David B Goldstein,23,3572,19,0.001,0.023,,,0.9665
Brenda W J H Penninx,27,3528,19,0.0,0.121,,,0.9658
Johannes R Vingerling,27,1201,19,0.0,0.031,,,0.8756
Michael Gill,28,3789,19,0.002,0.08,,,0.9691
Fredrick R Schumacher,29,3182,19,0.001,0.081,,,0.9611
Bjarke Feenstra,30,2066,19,0.001,0.094,,,0.9346
Rhian Gwilliam,20,6429,19,0.001,0.086,,,0.9852
Marilyn C Cornelis,28,1989,18,0.0,0.072,,,0.9315
David J Couper,19,2962,18,0.0,0.076,,,0.9579
Joseph T Glessner,23,1921,18,0.0,0.023,,,0.9289
Angela Cox,28,3189,18,0.001,0.096,,,0.9612
George Dedoussis,24,4446,18,0.0,0.114,,,0.9754
Henning Tiemeier,34,1624,18,0.001,0.094,,,0.9153
Thomas Quertermous,20,6642,18,0.0,0.105,,,0.9861
Yoon Shin Cho,29,3723,18,0.001,0.095,,,0.9684
Martin den Heijer,22,3244,18,0.0,0.077,,,0.9621
Arif B Ekici,29,1943,18,0.001,0.072,,,0.9299
Nilanjan Chatterjee,25,4788,18,0.001,0.07,,,0.9774
Noel P Burtt,19,6891,18,0.0,0.057,,,0.9868
Janine F Felix,28,1326,18,0.0,0.089,,,0.8879
Michael A Province,27,3231,18,0.0,0.098,,,0.962
Niels Grarup,27,3406,18,0.001,0.114,,,0.9642
Min Jin Go,32,3799,18,0.001,0.098,,,0.9693
Jari Lahti,32,1357,18,0.0,0.108,,,0.892
Julian Peto,29,3502,18,0.001,0.085,,,0.9654
Krista Fischer,22,3868,18,0.0,0.098,,,0.9699
Tanja Zeller,38,2105,18,0.001,0.087,,,0.9365
Pau Navarro,29,3364,18,0.0,0.116,,,0.9636
Robert Plomin,29,2625,18,0.001,0.059,,,0.9512
Vasiliki Lagou,23,2609,18,0.0,0.1,,,0.9508
Julie E Buring,24,2340,18,0.001,0.089,,,0.944
Martin D Tobin,28,3214,18,0.001,0.094,,,0.9616
Dongxin Lin,35,1192,18,0.001,0.041,,,0.8747
Nazneen Rahman,22,3028,18,0.001,0.059,,,0.9586
Wolfgang Maier,27,3369,18,0.001,0.067,,,0.9638
Lisette Stolk,25,2005,18,0.0,0.09,,,0.9325
Ming-Huei Chen,34,1708,18,0.0,0.065,,,0.9189
Gerjan Navis,25,2794,18,0.0,0.092,,,0.9549
Paul F O'Reilly,21,2835,18,0.0,0.09,,,0.9555
Pamela A F Madden,36,2813,18,0.001,0.084,,,0.9553
Young Jin Kim,29,3128,18,0.001,0.093,,,0.9599
Jianfeng Xu,43,3418,18,0.004,0.069,,,0.9644
Antonella Mulas,25,4235,18,0.0,0.094,,,0.9733
Chen Wu,35,1224,18,0.001,0.046,,,0.8779
Oscar H Franco,48,1943,18,0.0,0.125,,,0.9299
Caroline C W Klaver,27,1250,18,0.0,0.032,,,0.8798
Carl A Anderson,20,5019,18,0.0,0.034,,,0.9789
Matthias W Beckmann,28,2232,18,0.0,0.083,,,0.9407
Marcus E Kleber,39,3291,18,0.0,0.125,,,0.9624
Lorna M Lopez,27,1685,18,0.0,0.093,,,0.9178
David W Craig,20,1436,18,0.001,0.02,,,0.9014
Johannes Kettunen,25,4681,18,0.0,0.072,,,0.9767
Stephan Weidinger,22,1125,18,0.001,0.03,,,0.867
Daniel O Stram,29,2061,18,0.001,0.085,,,0.9345
Nathaniel Rothman,31,1254,18,0.0,0.051,,,0.8806
Eric E Schadt,22,6877,18,0.001,0.117,,,0.9868
Anne B Newman,23,1415,18,0.0,0.07,,,0.899
Wolfgang Lieb,40,2620,18,0.003,0.109,,,0.9511
Toshihiro Tanaka,29,1851,17,0.001,0.076,,,0.9267
Mario A Morken,17,7926,17,0.0,0.088,,,0.9898
Jacqueline C Witteman,17,3622,17,0.0,0.063,,,0.9673
Jaana Laitinen,17,5549,17,0.0,0.08,,,0.9818
Alan B Zonderman,32,991,17,0.001,0.101,,,0.8486
Marcus Dorr,28,3076,17,0.0,0.116,,,0.9592
Diether Lambrechts,28,2546,17,0.001,0.092,,,0.9495
Yoichiro Kamatani,43,1821,17,0.002,0.082,,,0.9245
Irene Mateo Leach,23,3034,17,0.0,0.097,,,0.9587
Ian Ford,37,2520,17,0.001,0.143,,,0.9487
Valur Emilsson,17,2887,17,0.001,0.108,,,0.9563
David L Duffy,24,1076,17,0.0,0.027,,,0.8612
Rinse K Weersma,20,3813,17,0.001,0.031,,,0.9696
Aiden Corvin,23,2710,17,0.001,0.067,,,0.9533
Ananth C Viswanathan,21,2501,17,0.0,0.048,,,0.9482
Nicole M Warrington,25,1310,17,0.0,0.055,,,0.8864
Niek Verweij,33,2516,17,0.0,0.114,,,0.9486
Miriam F Moffatt,20,4334,17,0.001,0.078,,,0.9747
Daniela Toniolo,30,1394,17,0.0,0.094,,,0.8975
David Siscovick,21,1728,17,0.0,0.076,,,0.9198
Irene Pichler,21,5270,17,0.0,0.078,,,0.9806
Ulf de Faire,20,5745,17,0.0,0.115,,,0.9825
Cordelia Langford,20,4397,17,0.001,0.063,,,0.9751
Stephen M Schwartz,19,3520,17,0.0,0.062,,,0.9657
Jemma B Wilk,20,1388,17,0.0,0.027,,,0.8968
Jianxin Shi,20,4793,17,0.001,0.095,,,0.9775
Thomas J Wang,24,2769,17,0.0,0.046,,,0.9544
Jennifer E Huffman,34,1521,17,0.0,0.112,,,0.9084
Richard M Watanabe,18,7252,17,0.0,0.065,,,0.9881
Wilmar Igl,20,5314,17,0.0,0.098,,,0.9807
Ching-Ti Liu,31,2486,17,0.0,0.125,,,0.9477
Inger Njolstad,19,4107,17,0.0,0.095,,,0.9724
Melissa Garcia,23,2145,17,0.0,0.101,,,0.9377
Satu Mannisto,24,3339,17,0.001,0.111,,,0.9633
Mark O Goodarzi,21,2332,17,0.0,0.082,,,0.9437
Alena Stancakova,24,4480,17,0.0,0.112,,,0.9755
Tangchun Wu,31,1031,17,0.002,0.056,,,0.8545
Federico Canzian,27,2131,17,0.001,0.086,,,0.9373
John Blangero,32,2603,17,0.002,0.107,,,0.9506
Carolina Medina-Gomez,29,2534,17,0.0,0.088,,,0.949
Lisa R Yanek,28,1405,17,0.001,0.083,,,0.8985
Elizabeth G Holliday,36,1356,17,0.001,0.108,,,0.8919
Jingzhong Ding,22,902,17,0.0,0.073,,,0.8331
Jane Worthington,21,2705,17,0.001,0.034,,,0.9531
Michael J Owen,19,3711,17,0.001,0.056,,,0.9683
Constance Chen,20,1972,17,0.0,0.069,,,0.9311
Julie M Cunningham,27,1341,17,0.001,0.075,,,0.8905
Bernhard O Boehm,22,4564,17,0.0,0.103,,,0.9758
Karl-Heinz Jockel,27,4192,17,0.001,0.109,,,0.9731
Rodney J Scott,33,1970,17,0.002,0.122,,,0.9309
Paul Scheet,19,4160,17,0.002,0.066,,,0.9728
Nelson B Freimer,18,6587,17,0.0,0.085,,,0.9857
Serkalem Demissie,24,3415,17,0.0,0.068,,,0.9643
Joyce Y Tung,23,1299,17,0.0,0.052,,,0.8855
Keri L Monda,17,4283,16,0.0,0.084,,,0.9739
Mingyao Li,17,3782,16,0.0,0.068,,,0.969
Melissa E Garcia,19,2381,16,0.0,0.102,,,0.9457
Panagiotis Deloukas,17,4894,16,0.0,0.076,,,0.9783
Carl Blomqvist,22,1669,16,0.0,0.066,,,0.9171
Borge G Nordestgaard,23,2736,16,0.001,0.086,,,0.9538
Irene L Andrulis,23,1736,16,0.001,0.08,,,0.9202
David J Porteous,25,1221,16,0.0,0.091,,,0.8777
Sandosh Padmanabhan,28,1128,16,0.001,0.102,,,0.8672
Sandra Lai,18,1662,16,0.0,0.047,,,0.9169
Melanie Waldenberger,32,1471,16,0.0,0.12,,,0.9048
Annika Lindblom,25,2373,16,0.001,0.083,,,0.9455
John B Whitfield,30,3254,16,0.0,0.099,,,0.9622
Ute Hamann,19,2634,16,0.0,0.078,,,0.9516
Kenneth M Rice,22,1912,16,0.0,0.079,,,0.9285
Silvia Naitza,19,2281,16,0.0,0.065,,,0.9424
Matthew J Huentelman,17,1601,16,0.001,0.031,,,0.9137
Katja K H Aben,18,1916,16,0.0,0.05,,,0.9288
Andrew D Paterson,31,1104,16,0.002,0.06,,,0.8644
Roberto Elosua,19,4982,16,0.0,0.086,,,0.9788
Robert Roberts,17,3615,16,0.0,0.064,,,0.9673
Shaun Purcell,17,4735,16,0.001,0.06,,,0.9772
Norihiro Kato,26,1619,16,0.0,0.075,,,0.9149
Claudia Lamina,19,5838,16,0.0,0.09,,,0.9832
Jamie E Craig,30,1096,16,0.001,0.044,,,0.8631
Peter McGuffin,20,1674,16,0.0,0.037,,,0.9174
Robert M Plenge,19,3015,16,0.0,0.033,,,0.9585
Adaikalavan Ramasamy,17,1333,16,0.001,0.065,,,0.8892
Rona J Strawbridge,24,4102,16,0.0,0.102,,,0.9721
Christian Fuchsberger,20,1466,16,0.0,0.082,,,0.9042
Scott D Gordon,25,1850,16,0.0,0.073,,,0.9266
Barbara Thorand,23,4375,16,0.0,0.101,,,0.975
Ken Yamamoto,22,1548,16,0.001,0.048,,,0.9102
Kamila Czene,26,1634,16,0.0,0.076,,,0.9155
Chris Wallace,16,3661,16,0.0,0.033,,,0.9679
Sigurjon A Gudjonsson,22,1650,16,0.0,0.02,,,0.9164
Wei Zhao,32,2030,16,0.001,0.133,,,0.9334
Michael R Erdos,16,6799,16,0.0,0.073,,,0.9866
Peter Almgren,23,6084,16,0.0,0.086,,,0.984
Daniele Cusi,23,3308,16,0.002,0.111,,,0.9627
Wei-Min Chen,27,2492,16,0.001,0.077,,,0.948
Jer-Yuarn Wu,30,1519,16,0.002,0.057,,,0.9082
Nona Sotoodehnia,35,1377,16,0.0,0.073,,,0.8947
Dan M Roden,31,1363,16,0.001,0.041,,,0.893
Manuel Mattheisen,22,2011,16,0.001,0.056,,,0.933
George McMahon,25,1326,16,0.0,0.067,,,0.8879
Kristleifur Kristjansson,16,3102,16,0.0,0.019,,,0.9595
Hoda Anton-Culver,19,1958,16,0.0,0.075,,,0.9304
Alan L James,20,3476,16,0.0,0.084,,,0.965
Stacy Steinberg,17,3349,16,0.0,0.05,,,0.9635
Lili Milani,22,2384,16,0.0,0.119,,,0.9459
Amanda J Bennett,17,6519,16,0.0,0.086,,,0.9855
David Melzer,17,2958,16,0.0,0.062,,,0.9578
So-Youn Shin,21,1983,16,0.0,0.072,,,0.9314
Tatijana Zemunik,23,1504,16,0.0,0.084,,,0.9069
Rob M van Dam,25,2622,16,0.0,0.098,,,0.9512
Ian Tomlinson,25,2186,16,0.0,0.076,,,0.9394
Yongyong Shi,26,1245,16,0.001,0.024,,,0.8796
Alex S F Doney,18,7114,16,0.0,0.088,,,0.9877
Loic Yengo,19,2941,16,0.0,0.111,,,0.9574
George T O'Connor,20,1137,16,0.0,0.032,,,0.8686
Leonard H van den Berg,23,1592,16,0.001,0.041,,,0.9131
Stephane Cauchi,16,4300,16,0.0,0.087,,,0.9742
David Meyre,17,4844,16,0.0,0.065,,,0.9779
Thilo Dork,23,2856,16,0.0,0.082,,,0.956
Timo A Lakka,19,3529,16,0.0,0.103,,,0.9658
Aki S Havulinna,25,5634,16,0.0,0.11,,,0.982
Stefan Gustafsson,24,3935,16,0.0,0.104,,,0.9702
Nancy L Heard-Costa,17,4323,16,0.0,0.077,,,0.9745
Stefan Herms,23,1278,16,0.002,0.07,,,0.8827
Edwin K Silverman,27,1314,16,0.0,0.019,,,0.8867
George V Dedoussis,20,2465,16,0.0,0.091,,,0.9472
Christophe Tzourio,21,2421,15,0.0,0.09,,,0.9463
Wei Chen,24,1358,15,0.001,0.052,,,0.8921
Peter Donnelly,17,2854,15,0.0,0.04,,,0.9559
Chris C A Spencer,18,2863,15,0.0,0.038,,,0.9561
Ying Wu,22,2366,15,0.0,0.107,,,0.9452
Marylyn D Ritchie,26,1905,15,0.001,0.061,,,0.9282
Mari Nelis,15,4644,15,0.0,0.081,,,0.9763
Eleonora Porcu,18,1453,15,0.0,0.082,,,0.9033
Seang-Mei Saw,28,792,15,0.0,0.047,,,0.8112
Stefan R Bornstein,16,5499,15,0.0,0.1,,,0.9816
Yingchang Lu,25,1871,15,0.001,0.119,,,0.9273
Elin Grundberg,17,2632,15,0.0,0.061,,,0.9514
Pablo V Gejman,17,4813,15,0.001,0.084,,,0.9777
Javier Benitez,18,2436,15,0.0,0.076,,,0.9465
Serge Hercberg,18,4132,15,0.0,0.074,,,0.9726
Tien-Yin Wong,26,887,15,0.0,0.045,,,0.8299
Eero Kajantie,17,2687,15,0.0,0.083,,,0.9527
Heyo K Kroemer,15,2068,15,0.0,0.059,,,0.9348
Stefan Kaab,23,1586,15,0.0,0.051,,,0.9126
Peter Rudnai,20,2039,15,0.0,0.033,,,0.9337
Vincent W V Jaddoe,22,807,15,0.0,0.054,,,0.8146
E-Shyong Tai,32,2114,15,0.001,0.083,,,0.937
Kaisa Silander,21,5764,15,0.0,0.074,,,0.9827
Jie Huang,27,991,15,0.001,0.082,,,0.8486
Celine Bellenguez,22,2715,15,0.001,0.073,,,0.9534
Jouko Saramies,15,6557,15,0.0,0.081,,,0.9856
Alex P Reiner,30,914,15,0.0,0.082,,,0.8346
Laura Crisponi,16,2378,15,0.0,0.065,,,0.9456
Michael J Thun,15,2943,15,0.0,0.046,,,0.9575
Joel Eriksson,21,969,15,0.0,0.078,,,0.845
Juha Sinisalo,18,5710,15,0.0,0.099,,,0.9822
Susanne Lucae,19,1447,15,0.0,0.046,,,0.9027
Joshua C Denny,29,1244,15,0.001,0.059,,,0.8795
Anna Murray,19,1017,15,0.0,0.049,,,0.8528
Gerard D Schellenberg,18,2028,15,0.001,0.041,,,0.9333
Patrick F Sullivan,22,2805,15,0.001,0.038,,,0.9552
Momoko Horikoshi,19,1341,15,0.0,0.078,,,0.8905
Paolo Gasparini,32,1514,15,0.0,0.099,,,0.9078
Antonio Cao,15,3179,15,0.0,0.046,,,0.961
Reiner Biffar,20,1355,15,0.0,0.077,,,0.8918
Fumihiko Takeuchi,23,1867,15,0.0,0.074,,,0.9271
Ole A Andreassen,32,1983,15,0.001,0.055,,,0.9314
Yik-Ying Teo,27,805,15,0.0,0.062,,,0.8142
Louise V Wain,22,2007,15,0.0,0.08,,,0.9327
Anita L DeStefano,17,2299,15,0.0,0.068,,,0.943
Cathy C Laurie,42,887,15,0.002,0.071,,,0.8299
Anja Rudolph,21,1421,15,0.0,0.076,,,0.8997
Cathryn M Lewis,29,1751,15,0.001,0.055,,,0.9211
Richard S Cooper,19,3584,15,0.0,0.096,,,0.9667
Rachel M Freathy,17,4043,15,0.0,0.041,,,0.9715
Fabio Busonero,18,3214,15,0.0,0.059,,,0.9616
Ramaiah Nagaraja,18,4020,15,0.0,0.073,,,0.9713
Richard C Trembath,19,2708,15,0.0,0.039,,,0.9532
Medea Imboden,18,1327,15,0.0,0.057,,,0.8881
H Bas Bueno-de-Mesquita,18,1949,15,0.0,0.034,,,0.9301
Rainer Rettig,19,2760,15,0.0,0.087,,,0.9542
Francesco Cucca,27,1444,15,0.0,0.101,,,0.9022
Anna Jakubowska,16,1797,15,0.0,0.071,,,0.9233
Andrew J Saykin,23,1751,15,0.0,0.051,,,0.9211
Gilles Thomas,17,3310,15,0.0,0.026,,,0.9628
Katsushi Tokunaga,33,1531,15,0.003,0.018,,,0.9092
Douglas F Levinson,16,3953,15,0.001,0.083,,,0.9707
Dan Mellstrom,20,841,15,0.0,0.067,,,0.8205
Pierandrea Muglia,16,1996,15,0.0,0.026,,,0.9321
Kristiina Aittomaki,21,1538,15,0.0,0.067,,,0.9097
Marian Beekman,20,2230,15,0.0,0.086,,,0.9406
Cyrus Cooper,17,3730,15,0.0,0.071,,,0.9685
Hong-Wen Deng,39,636,15,0.0,0.009,,,0.7671
Dimitrios Trichopoulos,17,1972,15,0.0,0.056,,,0.9311
Stefan Blankenberg,24,2335,15,0.0,0.055,,,0.9438
Nancy J Cox,23,826,15,0.001,0.045,,,0.818
Devin Absher,22,4291,15,0.003,0.093,,,0.9741
Ivo Gut,17,3534,15,0.0,0.029,,,0.9659
Maria Teresa Landi,23,1438,15,0.0,0.047,,,0.9014
Andrea Maschio,18,2741,15,0.0,0.048,,,0.954
Kenneth Muir,23,2096,15,0.001,0.073,,,0.9359
Robert Luben,16,3749,15,0.0,0.103,,,0.9687
Dana C Crawford,23,1947,15,0.001,0.066,,,0.93
Kathryn P Burdon,28,1043,15,0.001,0.043,,,0.8566
Eva Ellinghaus,17,848,14,0.0,0.018,,,0.8221
Naveed Sattar,29,1684,14,0.0,0.116,,,0.9177
Simon C Potter,15,3471,14,0.0,0.071,,,0.965
Kevin V Shianna,17,3374,14,0.0,0.013,,,0.9638
Jiali Han,23,702,14,0.0,0.029,,,0.7843
Jiajun Shi,16,764,14,0.0,0.02,,,0.8015
Donald W Bowden,26,966,14,0.0,0.077,,,0.8445
Daniel B Mirel,16,1883,14,0.0,0.025,,,0.9275
Stephen B Kritchevsky,21,1150,14,0.0,0.066,,,0.87
Xin Yuan,14,3691,14,0.0,0.058,,,0.9681
Susan Redline,20,933,14,0.001,0.084,,,0.8371
Matti Pirinen,16,2369,14,0.0,0.041,,,0.9454
Susan M Gapstur,20,961,14,0.0,0.07,,,0.8432
Jouke Jan Hottenga,21,2272,14,0.0,0.093,,,0.942
John P Rice,18,1537,14,0.001,0.051,,,0.9096
Dongfeng Gu,24,1011,14,0.0,0.052,,,0.8519
Stephane Lobbens,15,3257,14,0.0,0.089,,,0.9622
John P Beilby,14,4481,14,0.0,0.08,,,0.9756
Ani Manichaikul,27,745,14,0.0,0.071,,,0.7953
Charles DeCarli,15,1538,14,0.0,0.058,,,0.9097
Charles C White,17,2702,14,0.0,0.085,,,0.953
Alvaro Alonso,20,1136,14,0.0,0.049,,,0.8683
Yik Ying Teo,23,1338,14,0.001,0.07,,,0.8902
Wen Tan,18,777,14,0.0,0.024,,,0.8073
Stephanie Debette,24,1224,14,0.0,0.087,,,0.8779
Rosa B Barkardottir,14,1768,14,0.0,0.063,,,0.9221
Leslie Bernstein,18,1037,14,0.0,0.075,,,0.8556
Manjinder S Sandhu,15,5494,14,0.0,0.066,,,0.9815
Pekka Jousilahti,19,4676,14,0.0,0.099,,,0.9766
Konstantin Strauch,36,2039,14,0.001,0.129,,,0.9337
Hans Bisgaard,21,949,14,0.0,0.061,,,0.8408
Cameron D Palmer,15,2664,14,0.0,0.077,,,0.9524
Hiltrud Brauch,20,2538,14,0.0,0.072,,,0.9491
John Beilby,19,3151,14,0.0,0.099,,,0.9603
Anna H Wu,16,1592,14,0.0,0.07,,,0.9131
Brooke L Fridley,25,1004,14,0.0,0.045,,,0.8509
Laura J Bierut,19,1294,14,0.002,0.066,,,0.885
Michael A Hauser,19,691,14,0.0,0.031,,,0.7803
Nicholas D Hastie,20,2269,14,0.0,0.079,,,0.9418
Guangfu Jin,22,752,14,0.0,0.028,,,0.7982
Diana Eccles,19,2458,14,0.0,0.062,,,0.9471
Michael Krawczak,15,1231,14,0.0,0.022,,,0.8784
Neil E Caporaso,19,978,14,0.0,0.049,,,0.8467
Juliane Winkelmann,21,3030,14,0.001,0.059,,,0.9587
David-Alexandre Tregouet,24,2156,14,0.0,0.059,,,0.9382
Steven Gallinger,20,1823,14,0.0,0.031,,,0.9247
Iftikhar J Kullo,23,915,14,0.0,0.032,,,0.8348
Fredrik Karpe,14,5473,14,0.0,0.085,,,0.9812
Joe Dennis,22,1585,14,0.0,0.086,,,0.9126
Stig E Bojesen,19,2245,14,0.0,0.077,,,0.941
Folkert W Asselbergs,20,2005,14,0.0,0.093,,,0.9325
Dianke Yu,16,616,14,0.0,0.019,,,0.7622
Florian Ernst,16,1903,14,0.0,0.059,,,0.928
Valerie Gaborieau,18,2850,14,0.0,0.053,,,0.9558
Renate B Schnabel,18,1415,14,0.0,0.038,,,0.899
Nicholas W Wood,15,2488,14,0.0,0.04,,,0.9479
Santhi K Ganesh,19,1935,14,0.0,0.067,,,0.9294
Klaus Stark,14,2506,14,0.0,0.056,,,0.9483
Sailaja Vedantam,17,5490,14,0.0,0.087,,,0.9813
Juncheng Dai,21,635,14,0.0,0.033,,,0.7669
Stephen J Sawcer,17,2205,14,0.0,0.037,,,0.9399
Alison M Goate,18,3010,14,0.0,0.036,,,0.9584
Gavin Band,15,2505,14,0.0,0.036,,,0.9483
Alfons Meindl,19,1613,14,0.0,0.08,,,0.9145
Rainer Rauramaa,18,3630,14,0.0,0.097,,,0.9674
Diana Kuh,17,3322,14,0.0,0.1,,,0.9631
Bryan J Traynor,20,1292,14,0.0,0.04,,,0.8845
Ina Giegling,22,2796,14,0.001,0.061,,,0.955
Weihong Tang,26,762,14,0.0,0.04,,,0.8009
Kai Wang,21,2872,14,0.001,0.045,,,0.9561
Michael H Cho,25,783,14,0.0,0.018,,,0.8086
Jayaram Vijayakrishnan,16,2362,14,0.0,0.017,,,0.945
Sheila Ulivi,22,1309,14,0.0,0.084,,,0.8863
Maggie C Y Ng,16,2353,14,0.0,0.067,,,0.9447
Robert R Graham,16,2287,14,0.001,0.041,,,0.9425
Edward G Lakatta,15,3983,14,0.0,0.081,,,0.9709
Gerardo Heiss,20,1074,14,0.0,0.051,,,0.8607
Maksim Struchalin,15,1446,14,0.0,0.045,,,0.9025
Andrew Wong,17,3322,14,0.0,0.1,,,0.9631
Yan V Sun,17,1611,14,0.0,0.065,,,0.9143
Kari Hemminki,24,1293,14,0.0,0.026,,,0.8848
Claude Bouchard,22,2007,14,0.0,0.087,,,0.9327
Eric M Reiman,16,1599,14,0.001,0.04,,,0.9136
Thomas W Winkler,16,4302,14,0.0,0.112,,,0.9743
Ingo Ruczinski,18,1196,14,0.001,0.026,,,0.8752
Yuanqing Ye,22,683,14,0.0,0.037,,,0.778
Jordan W Smoller,22,1572,14,0.002,0.053,,,0.9117
Wanqing Wen,18,1054,14,0.0,0.036,,,0.8584
Stanley L Hazen,17,1779,14,0.0,0.047,,,0.9225
Susan Campbell,19,1373,14,0.0,0.043,,,0.8946
Christopher P Nelson,18,1901,14,0.0,0.086,,,0.9279
Cristina Menni,15,1922,14,0.0,0.078,,,0.929
Shah Ebrahim,14,5096,14,0.0,0.067,,,0.9793
Thorkild I A Sorensen,20,979,14,0.0,0.087,,,0.847
Amund Gulsvik,20,1259,14,0.0,0.023,,,0.8811
Tien Y Wong,18,2716,14,0.001,0.103,,,0.9535
Katri Raikkonen,24,1104,14,0.0,0.084,,,0.8644
Udo Seedorf,16,2642,14,0.0,0.071,,,0.9517
Jose M Ordovas,24,3577,14,0.0,0.064,,,0.9667
Chunyu Liu,15,769,14,0.001,0.047,,,0.8051
