,Papers,citedByCount,GWAS-H,Betweenness,Degree,Country,Institution,CitePercentile
Sven Cichon,41,4830,26,0.003,0.101,,,0.9778
W H Linda Kao,34,4245,26,0.0,0.093,,,0.9735
Demetrius Albanes,44,3479,26,0.001,0.087,,,0.9651
Jacques S Beckmann,31,7811,26,0.002,0.107,,,0.9897
Nicholas L Smith,43,4249,26,0.0,0.109,,,0.9736
Peter M Visscher,38,6989,26,0.001,0.116,,,0.9872
Mark J Caulfield,31,8024,26,0.0,0.123,,,0.9901
Cristen J Willer,30,11345,26,0.0,0.105,U.S.,University of Michigan,0.9955
Martin G Larson,31,3203,26,0.0,0.056,,,0.9614
Evelin Mihailov,35,4233,26,0.001,0.147,,,0.9732
Philip L De Jager,42,4268,25,0.003,0.132,,,0.9737
Philippe Amouyel,38,4184,25,0.002,0.138,,,0.973
Anuj Goel,33,6392,25,0.0,0.133,,,0.985
Kenneth Rice,34,3994,25,0.0,0.102,,,0.9709
Man Li,38,4936,25,0.0,0.101,,,0.9786
Aimo Ruokonen,26,7268,25,0.0,0.085,,,0.9882
Mads Melbye,39,2546,25,0.002,0.11,,,0.9495
Hilma Holm,30,4876,25,0.0,0.093,,,0.9782
Richard S Houlston,47,3569,25,0.001,0.05,,,0.9664
Qiuyin Cai,42,3149,25,0.002,0.119,,,0.9603
Liming Liang,33,5269,25,0.003,0.109,,,0.9805
Emelia J Benjamin,38,2874,25,0.0,0.048,,,0.9562
James B Meigs,29,4941,25,0.0,0.083,,,0.9787
Kathryn L Lunetta,43,3228,25,0.001,0.1,,,0.9618
Jorma Viikari,33,4905,25,0.0,0.123,,,0.9784
Jennie Hui,34,6977,25,0.001,0.131,,,0.9871
Dawn M Waterworth,31,6742,25,0.0,0.082,,,0.9864
Yukinori Okada,47,3153,25,0.004,0.106,,,0.9605
Anna Kottgen,40,4268,25,0.0,0.071,,,0.9737
Amy J Swift,26,8837,24,0.0,0.11,,,0.9918
Themistocles L Assimes,29,7305,24,0.0,0.117,,,0.9883
Yu-Tang Gao,36,2604,24,0.002,0.1,,,0.9506
P Eline Slagboom,46,3124,24,0.001,0.125,,,0.9598
G Bragi Walters,25,6495,24,0.0,0.069,,,0.9854
Dan E Arking,47,3760,24,0.001,0.102,,,0.9689
Narisu Narisu,27,9398,24,0.0,0.111,,,0.9927
Xiuqing Guo,56,3947,24,0.001,0.146,,,0.9705
Jan Lubinski,31,2983,24,0.001,0.1,,,0.9581
Claes Ohlsson,45,5408,24,0.0,0.114,,,0.981
Andrew Singleton,32,3806,24,0.001,0.1,,,0.9695
Christopher G Mathew,27,6679,24,0.001,0.055,,,0.9863
Valeriya Lyssenko,29,7781,24,0.0,0.102,,,0.9895
Daniel J Rader,27,6107,24,0.0,0.09,,,0.984
Charles Kooperberg,49,3505,24,0.002,0.145,,,0.9655
Robert Clarke,27,7080,24,0.0,0.11,,,0.9876
Simon N Stacey,31,3655,24,0.0,0.044,,,0.9678
Ann-Christine Syvanen,29,6191,24,0.002,0.128,,,0.9845
Hongbing Shen,46,1625,24,0.002,0.059,,,0.9154
Stavroula Kanoni,31,5760,24,0.0,0.134,,,0.9826
Jong-Young Lee,36,4704,24,0.003,0.118,,,0.9769
Asa Johansson,38,7342,24,0.001,0.124,,,0.9885
